Paper_ID,Material,Substrate,Method,Gas_Mixture_Std,Power_W,Working_Pressure_Pa,Base_Pressure_Pa,Temperature_C,Thickness_nm
10.1016_0040-6090(96)08778-0,Al-1wt.%Si-0.5wt.%Cu alloy,Silicon wafer,Sputter deposition,Unknown,,,,170.0,
10.1016_0040-6090(96)08783-4,Pd-Al2O3,,Triode sputtering,Unknown,,,,300.0,
10.1016_0040-6090(96)80024-1,alumina,polyethylene terephthalate (PET),r.f. magnetron sputtering,Ar,5.1,0.1,,,
10.1016_0040-6090(96)80069-1,Silver,silicon wafer substrates,"r.f. sputtering, electron-beam (e-beam) evaporation, thermal evaporation, and reactive sputtering",O2,185.0,0.266644,6.6661e-05,25.0,
10.1016_0042-207X(84)90207-0,Nickel oxide,Nickel films,Sputter-oxidation,O2,,"[0.001, 0.00075]",,,7.0
10.1016_0042-207X(86)90347-7,"Ni, Cr, Ag, Ta, Au, Cr,O, and Ta,O,",Si(100),Plasma beam-sputter deposition (Tetrode sputtering),Unknown,,,,,
10.1016_0042-207X(89)90026-2,"Copper, tin oxide, and zinc oxide",Optical glass slides,Magnetron sputtering,Ar/O2,,,,,"[100.0, 100.0]"
10.1016_0042-207X(89)90707-0,TiNx,,Reactive magnetron sputtering,Ar/N2,,,,,
10.1016_0042-207X(90)90041-V,Bi-Sr-Ca-Cu-O (Bi-based superconductors),,"Reactive magnetron sputtering, magnetically enhanced triode sputtering, ion beam deposition, laser ablation, sequential or coevaporation, chemical vapour deposition",Ar/O2,,,,,
10.1016_0042-207X(90)93806-T,Nd2-xCexCuO4-y,SrTiO3,rf-planar magnetron sputtering,Unknown,,,,500.0,
10.1016_0042-207x(90)93995-u,"Amorphous Mo-Si alloys (MoxSi1-x, where x = 0.69 and x = 0.47)",,dc sputtering,Ar,,,,,3.6
10.1016_0042-207X(91)90077-V,"Cu, Cu2O, CuO, TiO2, Indium Tin Oxide (ITO)",,Reactive magnetron sputtering,Ar/O2,,"[0.8, 0.4]",,,
10.1016_0042-207X(91)90552-T,InP-oxide,InP,dc magnetron reactive sputtering,O2,,13.0,,80.0,300.0
10.1016_0042-207x(91)91341-k,YBCO,,Ion beam sputtering,Unknown,,,,,
10.1016_0042-207x(91)91344-n,"YBa2Cu3O7-x (YBCO), Bi(Pb)-Sr-Ca-Cu-O","MgO, ZrO2, SrTiO3, Al2O3, yttria-stabilized zirconia (YSZ)","rf magnetron sputtering, dc sputtering, Kaufman-type ion source, oxygen discharge plasma-assisted excimer laser ablation, chemical spray deposition",Ar/O2,"[60.0, 0.6]","[23.99796, 13.598844]",,"[500.0, 406.85, 750.0]",1000.0
10.1016_0042-207x(91)91380-7,YBCO,Si(100),dc magnetron sputtering,Unknown,,,,800.0,
10.1016_0042-207x(91)91396-6,Y-Ba-Cu-O (YBa2Cu3O7),"Polycrystalline, SrTiO3, and ZrO2 single crystalline substrates","dc reactive magnetron sputtering, laser ablation, and ion beam sputtering",Ar/O2,,10.0,,"[350.0, 500.0, 600.0]",
10.1016_0042-207x(91)91397-7,Y-Ba-Cu-O (YBa2Co307),"Polycrystalline, SrTiO3, ZrO2 single crystalline","dc reactive magnetron sputtering, laser ablation, ion beam sputtering",Ar/O2,,10.0,,"[350.0, 500.0, 600.0]",
10.1016_0042-207X(92)90045-X,"YBa2Cu3O7-x (YBCO), BiSrCaCuO, TlBaCaCuO","GaAs, Si, low dielectric insulators, semiconductors","Evaporation (electron-beam), Sputter deposition, Chemical vapour deposition (CVD), Pulsed laser deposition (PLD), Thermal spraying, Chemical spray pyrolysis, Sol-gel spin casting, Dipping, Electrodeposition",O2,,10.0,,"[550.0, 650.0, 400.0, 900.0]",
10.1016_0042-207X(92)90081-7,Oxide films (SiO2),Silicon,Low energy ion beam oxidation,O2,,,,,
10.1016_0042-207X(92)90126-H,yttrium oxide (Y2O3),boron-doped (100) p-type silicon wafers,rf-sputtering,Ar/O2,100.0,1333.22,1333.22,300.0,60.0
10.1016_0042-207X(92)90161-O,Tellurium suboxide (TeOx),,rf reactive sputtering,Ar/O2,,,,,
10.1016_0042-207X(92)90186-Z,YBa2Cu3O7 (YBCO),single crystal MgO(100) and SrTiO3(110),rf planar magnetron sputtering (off-axis),Ar/O2,,37.33016,,735.0,
10.1016_0042-207X(92)90201-7,Titania (Titanium dioxide),,dc reactive magnetron sputtering,Unknown,,,,,
10.1016_0042-207X(92)90321-M,Bi-2212 (Bi2Sr2 Ca Cu2 O8) / Bi-2201 (Bi2Sr2 CuO6) multilayered superlattice,(100)MgO and (100)SrTiO3,rf-magnetron sputtering,Unknown,,,,,
10.1016_0042-207X(92)90322-N,"Si, Ti, and Au",BiPbSrCaCuO superconducting films on single-crystal (100)MgO,rf-magnetron sputtering,Unknown,,,,,
10.1016_0042-207X(93)90010-8,yttrium barium copper oxide (YBCO),MgO(lO0) and YSZ(IO0),rf magnetron sputtering and chemical sol gel methods,Unknown,,,,,
10.1016_0042-207X(93)90357-G,Zinc oxide (ZnO),Glass,dc reactive magnetron sputtering,Ar/O2,,,3000.0,,
10.1016_0042-207X(94)90033-7,"Tungsten carbide with 15 wt% cobalt, Aluminium oxide","High-speed steel M2 (AISI), Silicon",RF magnetron sputtering,Ar,6.25,"[0.5, 0.3]",,,
10.1016_0042-207X(94)90078-7,Tin and indium oxide,,Reactive magnetron sputtering,Ar/O2,,,,,
10.1016_0042-207X(94)90334-4,ZnO,Microscope glass slides,dc reactive magnetron sputtering,Ar/O2,,,,50.0,
10.1016_0042-207X(95)00073-9,Chromium,Alumina superstrate ceramic,DC plasma beam sputtering,Unknown,,0.2,,,464.0
10.1016_0042-207X(95)00092-5,ZnO,glass,dc reactive magnetron sputtering,Ar/O2,,,,,
10.1016_0042-207X(95)00102-6,YBa2Cu3O7-x and NiO,SrTiO3 and Silicon,Reactive magnetron sputtering,Unknown,,,,125.0,
10.1016_0042-207X(95)00156-5,YBCO,MgO (100),RF sputtering,Ar/O2,140.0,5.0,,700.0,
10.1016_0042-207X(95)00176-X,Ti and Ti + Al films,A2 tool steel,rf magnetron sputtering,Unknown,,,0.002,,
10.1016_0042-207X(96)00157-1,Tin oxide (SnO2),Alumina,RF reactive sputtering,Ar/O2,800.0,,,400.0,300.0
10.1016_0043-1648(95)06746-9,"Amorphous carbon, Al2O3, SiC","Ni-Zn ferrite, Al2O3-TiC, Silicon","Cathodic arc deposition, (direct) ion beam deposition, plasma-enhanced chemical vapor deposition (PECVD), DC magnetron sputtering, ion beam sputtering, RF sputtering",Unknown,,,,,400.0
10.1016_0142-9612(96)89656-6,calcium phosphate (Ca-P),titanium,radiofrequency (RF) magnetron sputtering,Unknown,,,,"[550.0, 1000.0]",
10.1016_0165-1633(81)90061-7,TiO2,Glass,Reactive sputtering,Unknown,,,,,
10.1016_0165-1633(84)90012-1,Copper oxide (Cu2O and CuO),Ferritic stainless steel,Sputtering and electrolysis,Unknown,,,,"[170.0, 350.0]",
10.1016_0165-1633(86)90016-X,"Silver, Gold, Copper, Tin oxide",flexible polyester sheet,planar magnetron sputtering,Unknown,,,,,10.0
10.1016_0165-1633(86)90036-5,Indium and tin doped zinc oxide (ZnO),,rf magnetron sputtering,Unknown,,,,,
10.1016_0165-1633(87)90006-2,tungsten oxide,,"reactive dc sputtering, flash evaporation",Unknown,,,,,
10.1016_0165-1633(88)90049-4,TiN and TiO2,rigid substrates,reactive sputtering,Unknown,,,,,
10.1016_0165-1633(90)90007-N,SnO x,glass,RF magnetron sputtering,Ar/O2,,,,,
10.1016_0167-2738(84)90151-6,NiO,CoO single crystals,rf sputtering,Unknown,,,,,
10.1016_0167-2738(90)90131-A,Bi-Sr-Ca-Cu-O system,,three-target dc magnetron sputtering,Unknown,,,,25.0,
10.1016_0167-2738(92)90018-K,lithium cobalt oxide,,rf sputtering,Unknown,,,,,
10.1016_0167-2738(92)90062-T,Vanadium oxide,,RF-sputtering,Ar/O2,,,,,
10.1016_0167-2738(92)90114-5,Yttria-stabilized zirconia (YSZ),,reactive magnetron sputter deposition,Ar/O2,150.0,,,350.0,
10.1016_0167-2738(92)90147-H,Na-AI-O mixed oxides,,RF-magnetron sputtering,Ar/O2,,,10.0,,
10.1016_0167-2738(93)90247-Z,Tantalum oxide,glass,rf sputtering,Unknown,,,,,
10.1016_0167-2738(94)00213-C,Ag-(La0.7Sr0.3)CoO3 (LSC) and Ag-(La0.8Sr0.2)MnO3 (LSM) cermet thin films,(Y2O3)0.25(Bi2O3)0.75 (YSB) electrolytes,dc magnetron cosputtering,Unknown,,,,750.0,
10.1016_0167-2738(94)90384-0,Li-AI-O mixed oxides,polished alumina substrate,if-magnetron sputtering,Unknown,,,,,
10.1016_0167-2738(95)00206-L,La0.5Sr0.5MnO3,,Ultrasonic spraying and RF sputtering,Unknown,,,,,
10.1016_0167-2738(96)00033-1,Y-doped BaCeO3,single-crystalline MgO (001),RF-magnetron sputtering,Unknown,,,,550.0,
10.1016_0167-2738(96)00222-6,tungsten-oxide-based thin films,,reactive magnetron sputtering,Ar/O2,,,,,
10.1016_0167-2738(96)00236-6,Non stoichiometric nickel oxide (NiOx),,r.f. reactive sputtering,Ar/O2,,,,,
10.1016_0167-2738(96)00237-8,Molybdenum oxide,,r.f. reactive sputtering,Ar/O2,,,,,
10.1016_0167-577X(84)90023-5,Aluminum oxide (Al2O3),,RF bias sputtering,Ar/O2,400.0,1.3332199999999998,2.66644e-05,,
10.1016_0167-577X(87)90098-X,cupric oxide (CuO),glass slides,reactive rf sputtering,O2,300.0,0.6666099999999999,0.0133322,,
10.1016_0167-577X(87)90108-X,In-doped ZnO and Al-doped ZnO,,rf magnetron sputtering,Unknown,,,,,
10.1016_0167-577X(90)90045-N,YBCO,"(100) MgO, (100) SrTiO3, (110) SrTiO3",dc sputtering,Ar/O2,,,,700.0,
10.1016_0167-577X(92)90065-R,CdIn2O4,Glass,RF sputtering,Ar/O2,100.0,6.0,,199.85000000000002,
10.1016_0167-577X(96)00074-2,Cadmiumoxide,,DC reactive magnetron sputtering,O2/N2,,,,,
10.1016_0167-9317(92)90540-8,High Tc superconducting thin films,MgO and LaAlO3,Laser ablation and sputtering,Unknown,,,,,
10.1016_0167-9317(95)00129-8,SrTiO3,LaA103 rhombohedral (110) substrates,rf sputtering,Ar/N2,,,,25.0,300.0
10.1016_0167-9317(95)00145-X,Lithium tantalate,RuO2-coated silicon,reactive rf sputtering,Unknown,,,,25.0,
10.1016_0167-9317(95)00148-4,PbTiO3 and PbZrTiO3,,Radio-frequency magnetron sputtering,Unknown,,,,,
10.1016_0169-4332(88)90398-4,tin-doped indium oxide (ITO),,atom beam sputtering,Unknown,,,,290.0,
10.1016_0169-4332(88)90410-2,Co-20Ni and Co-20Cr,,Sputtering,Unknown,,,,,
10.1016_0169-4332(88)90424-2,Zinc oxide (ZnO),,Ion beam sputtering deposition (IBSD),Ar/O2,,,,,
10.1016_0169-4332(88)90440-0,silicon dioxide,silicon,oxygen argon sputter deposition,Ar/O2,,,,200.0,
10.1016_0169-4332(88)90441-2,Iridium oxide (SIROF),ITO,Sputtering,Unknown,,,,,
10.1016_0169-4332(91)90372-Q,Bi-Sr-Ca-Cu-O,MgO(100),RF magnetron sputtering,Unknown,,,,380.0,
10.1016_0169-4332(93)90119-V,YBa2Cu3O7-x (YBCO),SrTiO3(100),DC-magnetron sputtering,Unknown,,,,,
10.1016_0169-4332(93)90233-2,Indium tin oxide (ITO),glass,radio-frequency (RF) magnetron sputtering,Unknown,,,,350.0,1000.0
10.1016_0169-4332(93)90251-6,Titanium oxide,glass,DC reactive magnetron sputtering,Ar/O2,,,0.0030000000000000005,,
10.1016_0169-4332(93)90272-D,Tin oxide,,Sputter-deposited,Unknown,,,,551.85,
10.1016_0169-4332(93)90424-A,"Ta,N",glass,reactive sputtering,N2,,0.133322,1.33322e-07,,300.0
10.1016_0169-4332(93)90455-K,ZnO,Oxidized silicon,Reactive RF-diode sputtering,O2,,,,250.0,
10.1016_0169-4332(93)90606-C,Aluminium doped ZnO,"Si, glass, pyrolytic carbon",reactive DC magnetron sputtering,Ar/O2,500.0,,9.999999999999999e-05,,
10.1016_0169-4332(93)90656-V,YBaCuO,MgO single crystal,Inverted cylindrical magnetron sputtering,Unknown,,,,750.0,
10.1016_0169-4332(93)90660-4,YBa2Cu3O7-x (YBCO),"ZrO2, MgO, and LaAlO3","Laser ablation, sputtering, metal-organic chemical vapor deposition (MOCVD), magnetron sputtering",Unknown,,,,,
10.1016_0169-4332(93)90663-V,TiO2-x,,Plasma-emission-controlled DC magnetron and conventional RF reactive sputtering,Unknown,,,,299.85,
10.1016_0169-4332(93)90664-W,Titanium oxide,Glass substrates (75 x 25 mm),DC reactive magnetron sputtering,Ar/O2,,0.8,,500.0,
10.1016_0169-4332(93)90665-X,TiO2 doped with Cr2O3 (0 < x < 0.013) and Nb2O5 (0 < y < 0.05),fused silica,reactive RF co-sputtering,Unknown,,,,,
10.1016_0169-4332(93)90671-W,Ga2O3,Al2O3,reactive radio frequency magnetron sputtering,Unknown,,,,,
10.1016_0169-4332(93)90674-Z,RuO2,,ion beam sputter deposition,Ar/O2,,,,,100.0
10.1016_0169-4332(93)90678-5,Tellurium suboxide (TeOx),Fused quartz and silicon,RF reactive sputtering,Ar,100.0,0.6666099999999999,,,100.0
10.1016_0169-4332(93)90679-6,Manganese nickel oxide,,RF reactive sputtering,Ar/O2,,,,,
10.1016_0169-4332(94)00407-2,TiO2,silicon wafers and glass,ArF laser sputtering deposition,Ar/O2/N2,,,,,
10.1016_0169-4332(94)00538-9,Tantalum oxide,Si,RF-sputtering (Reactive sputtering),Ar/O2,,,,219.85000000000002,4.0
10.1016_0169-4332(94)90031-0,ZnO,glass,DC reactive magnetron sputtering,Unknown,,,,25.0,
10.1016_0169-4332(96)00263-2,"Ni/Cr multilayers, Ni and Cr oxide thin films",smooth silicon substrate,Reactive ion sputtering,O2,,,,,30.0
10.1016_0250-6874(88)87013-6,ITO (Indium Tin Oxide),,Radio frequency magnetron sputtering (RFMS),Unknown,,,,,
10.1016_0250-6874(89)80021-6,Tin oxide,,Reactive sputtering,Ar/O2,,,,,
10.1016_0254-0584(91)90139-L,ZnO thin films with Al2O3 (0-10 atomic%),,rf magnetron sputtering,Unknown,,,,,
10.1016_0254-0584(93)90030-P,Mixed alkali-germanium oxide (xM2O-(1-x)GeO2 where M = Li or Na),Polished alumina substrate,Radiofrequency (r.f.) cathodic sputtering,Ar/O2,1.8,1.0,,70.0,1000.0
10.1016_0254-0584(94)90051-5,PbTiO3,Si(100),Radio frequency (r.f.) planar magnetron sputtering,Ar/O2,,1.33322,0.0013332200000000002,,
10.1016_0254-0584(94)90205-4,Tantalum oxide,Si,DC reactive sputtering,Ar/O2,,,,,
10.1016_0257-8972(87)90203-9,TiO2,,Reactive d.c. magnetically enhanced sputtering,Ar/O2,"[1000.0, 2000.0, 4000.0]","[0.133322, 0.266644]",,,
10.1016_0257-8972(87)90204-0,Metal oxide,,"Reactive sputtering, electron beam evaporation",Ar/O2,6000.0,,,,20.0
10.1016_0257-8972(87)90206-4,"Indium-tin oxide (ITO), Cr-Si-O, TiN",,Reactive d.c. magnetron sputtering,Unknown,,,,,
10.1016_0257-8972(91)90048-2,"TiO2-ZrO2, TiO2-Al2O3, TiO2-SiO2, ZnO-SnO2, ZrO2-SiO2, ZnO-SiO2, In2O3-SnO2, Al2O3-SiO2, (Al1-xSix)OxNy, AlN-Si3N4, TiN-ZrN, TiN-AlN","Glass, silicon, silica, and metal-coated glass",Reactive co-sputtering,Ar/O2/N2,,,,,
10.1016_0257-8972(93)90106-X,Copper,Alumina ceramics,"Vacuum arc deposition (VAD), magnetron sputtering (MS) and currentless chemical deposition (CCD)",Ar,,3.0,,450.0,
10.1016_0257-8972(93)90121-4,TiN,high speed steel (HSS),Sputtering,Unknown,,,,,
10.1016_0257-8972(93)90198-W,(TiA1V)N1-x,"high speed steel discs, Si plates and glass slides",reactive r.f. magnetron sputtering,Ar/N2,,0.65,1.3300000000000001e-05,,
10.1016_0257-8972(94)90162-7,Oxide films of titanium and aluminium,"Ti, Si, SUS and quartz",Ion-beam-assisted sputter deposition (IBASD),Ar/O2,,,,,
10.1016_0257-8972(95)02459-X,Tin oxide (SnO2),High purity alumina (99.9%),d.c. magnetron reactive sputtering,Ar/O2,,1333.22,1333.22,500.0,
10.1016_0257-8972(95)02479-4,"(Ti,Al)N and TiN",A2 steel,reactive r.f. magnetron sputtering,Unknown,,,,,
10.1016_0257-8972(95)02612-6,"Aluminium, Zinc, Oxides, Nitrides","Polyester (PET), Polypropylene (PP), Polyethylene naphthalate (PEN), Papertapes","Thermal evaporation, electron-beam evaporation, magnetron sputtering, plasma-enhanced chemical vapour deposition (PECVD)",Unknown,,,,,
10.1016_0257-8972(95)02616-9,"Titanium nitride, titanium carbonitride, titanium aluminum nitride, niobium nitride, carbon nitride, cubic boron nitride, aluminum oxide, titanium carbide, diamond-like carbon","High speed steel (HSS) tooling, cemented carbide cutting tools","Physical vapor deposition (PVD), Chemical vapor deposition (CVD), low voltage electron beam evaporation, cathodic arc deposition, triode high voltage electron beam evaporation, magnetron sputtering",Unknown,,,,1000.0,200.0
10.1016_0257-8972(95)08318-9,"W-N, W-N-Ti, W-N-Ni",Steel,d.c. reactive magnetron sputtering,Ar/N2,10.0,,10.0,450.0,
10.1016_0257-8972(95)08334-0,Aluminium nitride and oxide,,Magnetron sputtering,Unknown,,,10.0,,
10.1016_0304-3991(92)90326-F,"Pt, Pd",glass and silicon sheets (optionally covered by thermally evaporated gold layers),DC sputtering,Unknown,,,1000.0,,
10.1016_0304-3991(92)90346-L,YBa2Cu3O7,"NdGaO3, MgO, SrTiO3",off-axis RF magnetron sputtering,O2,,,,,
10.1016_0304-3991(92)90348-N,"YBa2Cu3O7-x, Bi2Sr2CaCu2O8+d",,"Pulsed-laser deposition (PLD), DC sputtering, chemical vapour deposition (CVD)",Unknown,,,,,
10.1016_0304-8853(86)90966-2,alpha-Fe2O3 (Iron Oxide),polycrystalline Al coated glass slides and amorphous Al2O3 coated glass slides,rf reactive sputtering,Ar/O2,3.08,1.99983,,,300.0
10.1016_0304-8853(92)90186-R,Fe3O4 (magnetite),,water vapor added rf-sputtering,Ar,,,,,
10.1016_0304-8853(93)90072-A,Ag/Fe/Ag sandwiches (enriched 57Fe),mica,dc triode sputtering,Unknown,,,,,"[55.0, 8.0]"
10.1016_0304-8853(93)90456-C,Bi2O3-CuO-Fe2O3,,rf-sputtering,Ar/O2,,,,526.85,
10.1016_0304-8853(94)00937-6,GdBa2Cu3O7+y,MgO,magnetron sputtering,Unknown,,,,-269.15,180.0
10.1016_0304-8853(95)00683-4,Barium ferrite (BaM),Silicon nitride coated carbon substrates and ZnO underlayer on a Si substrate,Facing target reactive sputtering,Ar/O2,,,,,
10.1016_0378-7753(93)80106-Y,Lithium phosphorus oxynitride,,r.f. magnetron sputtering,Ar/O2/N2,,,,,
10.1016_0378-7753(93)80109-3,Vanadium pentoxide (V2O5),,"Radio frequency (RF) sputtering, physical vapour deposition (PVD), and solvent casting",Ar/O2,,,,,
10.1016_0378-7753(93)80196-V,"Chromium, TiS2, oxide-sulfide solid electrolyte, LiI, Li",,"d.c. magnetron sputtering, RF magnetron sputtering, high vacuum vapor deposition",Unknown,,,,,
10.1016_0378-7753(94)02062-8,Niobium oxide (Nb2O5),SUS 303 stainless-steel and p-type Si(100),r.f. sputtering,Ar,100.0,10.665759999999999,,1000.0,
10.1016_0378-7753(94)02072-B,LiMn204 spinel,,r.f. magnetron sputtering,Unknown,,,,750.0,
10.1016_0379-6779(89)90970-3,Y-Ba-Cu-O and Bi-Sr-Ca-Cu-O systems,,RF-magnetron sputtering,Unknown,,,,,
10.1016_0379-6787(87)90127-X,Indium tin oxide,,Ion beam sputtering,O2,,,,,
10.1016_0921-4526(94)00264-V,YBa2Cu3O7-a,(100) SrTiO3 and MgO,Inverted cylindrical magnetron (ICM) sputtering,Unknown,,,,,
10.1016_0921-4526(94)91596-2,Bi2Sr2CaCu2O8+δ (Bi-2212),(100) SrTiO3 and LaAlO3,dc-sputtering,O2,,3.0,,840.0,
10.1016_0921-4526(94)91657-8,(Bio.8Pbo.2)2Sr2Ca2Cu3O10+y,MgO (100),r.f. magnetron sputtering,Unknown,,,,,1000.0
10.1016_0921-4526(94)91677-2,ACuO2 (SrCuO2 and CaCuO2),SrTiO3 (100),Reactive RF sputtering using oxygen radicals activated by microwave plasma,Ar/O2,,15.99864,,500.0,
10.1016_0921-4526(94)91798-1,EuBa2Cu~O~,SrTiO3(1 0 0),DC magnetron sputtering (NACHOS technique),Unknown,,,,800.0,
10.1016_0921-4526(95)00687-7,PbTiO3,MgO (100),RF-sputtering,Unknown,,,,,
10.1016_0921-4534(88)90167-0,Bi(Pb)-Sr-Ca-Cu-O,(100) MgO single crystal,RF magnetron sputtering,Ar,,2.0,,"[700.0, 886.0]",
10.1016_0921-4534(88)90220-1,REBaCuO (RE: Rare earth element),MgO (001),rf magnetron sputtering,Ar/O2,,,,800.0,700.0
10.1016_0921-4534(88)90711-3,"YBa2Cu3O7, Y2Ba4Cu8O20-x, RBa2Cu3O7 (R = Y, Er, Gd or La)","SrTiO3, Y stabilized ZrO2, MgO, Al2O3","Electron-beam evaporation, reactive magnetron sputtering",O2,,,,"[650.0, 750.0, 850.0]",50.0
10.1016_0921-4534(89)90333-X,YBa2Cu3O7,unoriented ZrO2 and (100) SrTiO3,single target dc reactive magnetron sputtering,O2,,,,,25.0
10.1016_0921-4534(89)90356-0,ErBa2Cu3O7-x,(100) MgO single-crystal,RF magnetron sputtering,Ar/O2,150.0,0.4,,600.0,
10.1016_0921-4534(89)90428-0,"T12Ca2Ba2Cu,010",yttrium-stabilized ZrOz,sputter-deposited,Unknown,,,,500.0,
10.1016_0921-4534(89)90434-6,High temperature superconductive ceramic,,Sputtering,Unknown,,,,,
10.1016_0921-4534(89)91035-6,YBaCuO,sapphire and SrTiO3,DC-magnetron-sputtering technique,Unknown,,,,,
10.1016_0921-4534(89)91058-7,BiSrCaCuO and TIBaCaCuO,MgO single crystal,RF magnetron sputtering,Ar/O2,,,,700.0,
10.1016_0921-4534(89)91166-0,YBa2Cu3Ox,,DC magnetron sputtering,Ar/O2,,3.0,3.0000000000000004e-05,,
10.1016_0921-4534(89)91168-4,YBa2Cu3O6+x (YBCO),ZrO2 buffered silicon,r.f. magnetron sputtering,Unknown,,,,,
10.1016_0921-4534(89)91170-2,Y1Ba2Cu307_3,"MgO, SrTiO3, LiNbO3",planar dc magnetron sputtering,Unknown,,,,,
10.1016_0921-4534(89)91173-8,Superconducting Bi-Sr-Ca-Cu-O and Bi(Pb)-Sr-Ca-Cu-O,MgO (200) single crystal,DC triode single target sputtering,Ar,,,,25.0,
10.1016_0921-4534(89)91176-3,Bi-Pb-Ca-Sr-Cu-O,MgO(100),RF sputtering,Unknown,,,,25.0,
10.1016_0921-4534(89)91186-6,Tl-Ca-Ba-Cu oxide,MgO,symmetrical RF diode sputtering,Unknown,,,,,
10.1016_0921-4534(89)91188-X,Y1Ba2Cu3Ox,SrTiO3(110),off-axis DC magnetron sputtering,Ar/O2,100.0,0.5866168,,600.0,1000.0
10.1016_0921-4534(89)91189-1,Bi-Sr-Ca-Cu-O (Bi2Sr2Ca2Cu3Ox),MgO(100),rf-magnetron sputtering,Ar/O2,150.0,,,600.0,
10.1016_0921-4534(89)91192-1,YBCO,(100)MgO,RF planar magnetron sputtering,Ar/O2,,66.661,,400.0,
10.1016_0921-4534(89)91220-3,Bi-Sr-Ca-Cu-O (2:2:1:2 composition),"(100)SrTiO3, (100)MgO, sapphire",d.c. sputtering,Unknown,,,,,
10.1016_0921-4534(89)91223-9,YBCO,"SrTiO3, Si with SiO2 or Y2O3 buffer layers",Three ion beam codeposition sputtering,Ar/O2,,1333.22,,"[650.0, 815.0]",100.0
10.1016_0921-4534(90)90135-2,YBa2Cu3O7 and YBa2(Cu1-xZnx)3O7,"SrTiO3, LaGaO3, ZrO2, MgO, and NdA1CaO4",DC-sputtering,Unknown,,,,,
10.1016_0921-4534(90)90153-6,YBa2Cu3O7-x,"MgO (100), SrTiO3 (100) (110) (111), LaAlO3 (100), yttria stabilized zirconia (100) (YSZ), and R-plane sapphire (1102)",90° off-axis RF planar magnetron sputtering,Ar/O2/N2,125.0,6.6661,0.000266644,600.0,
10.1016_0921-4534(90)90170-J,LaSrCuO,"single crystalline sapphire, SrTiO3, MgO",Magnetron sputtering (RF and DC),Unknown,,,,,
10.1016_0921-4534(90)90188-K,Bi-Sr-Ca-Cu-O (Bi2Sr2CaCu2Oy) and Ni-ferrite (NiFe2O4),(100) MgO single crystals,RF magnetron sputtering,Unknown,,,,650.0,
10.1016_0921-4534(90)90465-Q,YBaCuO,(100) MgO,Cylindrical hollow cathode magnetron sputtering,Unknown,,,,,
10.1016_0921-4534(90)90560-2,YBa2Cu3O7-x (YBCO),(100)MgO and (100)SrTiO3,DC sputtering,Unknown,,100.0,,700.0,100.0
10.1016_0921-4534(91)90517-3,"TI,BazCaCu208 (Tl-2212)",MgO (00 1) single crystal,RF magnetron sputtering,Unknown,,,,,
10.1016_0921-4534(91)90602-U,YBa2Cu3O7-δ (123),(100) MgO and (100) SrTiO3,RF magnetron sputtering,Ar/O2,20.0,,,650.0,
10.1016_0921-4534(91)90625-9,HTSC thin films (1-2-3 films and BiSrCaCuO),R-plane sapphire,Inverted Cylindrical Magnetron Sputtering (ICM),Unknown,,,,,
10.1016_0921-4534(91)90626-A,"YBCO (YBaCuO), LaBaCuO","Oxide substrates, silicon","Pulsed laser deposition [PLD], Sputtering",O2,,,,"[750.0, 300.0, 900.0]",
10.1016_0921-4534(91)90633-A,YBa2Cu3O7 and PrBa2Cu3-xGaxO7,SrTiO3 and LaAlO3,on axis dc magnetron sputtering,Ar/O2,60.0,100.0,,"[610.0, 710.0]",150.0
10.1016_0921-4534(91)90636-D,YBCO,"SrTiO3, Y-stabilized ZrO2","Coevaporation, magnetron sputtering",Unknown,,,,,
10.1016_0921-4534(91)90642-C,YBaCuO,(I00) SrTiO3,Hollow cathode discharge sputtering,Unknown,,,,,
10.1016_0921-4534(91)91118-N,"Pb-Sr-M-Ca-Cu-O (M= Ln, Bi, Sb, Ru, Sn, In)",MgO (100),rf-planar magnetron sputtering,Ar,,,,550.0,
10.1016_0921-4534(91)91121-J,YBCO (YBa2Cu3Ox),(001) MgO,rf magnetron sputtering,Unknown,,,,,
10.1016_0921-4534(91)91154-V,"Bi=(Sr, Ca)3Cu=Ox/Bi=Sr2CuOxlBi=(Sr, Ca)3Cu=Ox (2212/2201/2212)",polished (001)MgO,ion beam sputtering,Unknown,,,,,
10.1016_0921-4534(91)91182-4,YBCO (Y1Ba2Cu3Ox),"SrTiO3, LaAlO3, MgO, NdGaO3, and sapphire with YSZ buffer layer",DC-glow discharge sputter deposition,O2,,100.0,,640.0,
10.1016_0921-4534(91)91189-B,GdBa2Cu3O7 (GBCO),"(100) SrTiO3 (STO), (100) LaAlO3 (LAO), (100) Zr(Y)O2 (YSZ)",dc magnetron sputtering,Ar/O2,,79.9932,,500.0,
10.1016_0921-4534(91)91568-O,YBa2Cu3O7 (YBCO),(110) SrTiO3 crystals,DC magnetron sputtering,Ar/O2,,26.6644,,700.0,
10.1016_0921-4534(92)90028-B,YBCO (YBa2Cu3O7),,90° off-axis single target DC magnetron sputtering,Unknown,,,,,
10.1016_0921-4534(92)90046-F,Bi-Sr-Ca-Cu-O,,RF magnetron sputtering,Unknown,,,,,
10.1016_0921-4534(92)90124-U,YBa2CuaO7-x (YBCO),,DC-magnetron sputtering,Unknown,,,,,
10.1016_0921-4534(92)90150-B,Sr1-xNdxCuO2,(100) SrTiO3,RF-magnetron sputtering,Unknown,,,,,
